"","USAF","WBAN","STATION.NAME","CTRY","ST","CALL","station_lat","station_lon","ELEV.M.","BEGIN","END","CLIMATE.REGION","era5_lat","era5_lon","dist"
"1",10010,99999,"JAN MAYEN(NOR-NAVY)","NO","","ENJA",70.933,-8.667,9,19310101,20170502,"",70.9,-8.7,3.86489820442611
"2",10014,99999,"SORSTOKKEN","NO","","ENSO",59.792,5.341,48.8,19861120,20170502,"",59.8,5.3,2.46276325176784
"3",10040,99999,"NY-ALESUND II","NO","","ENAS",78.917,11.933,8,19730101,20140523,"",78.9,11.9,2.02008048594628
"4",10080,99999,"LONGYEAR","SV","","ENSB",78.246,15.466,26.8,19750929,20170502,"",78.2,15.5,5.1786379276779
"5",10100,99999,"ANDOYA","NO","","ENAN",69.293,16.144,13.1,19310103,20170502,"",69.3,16,5.72044088772125
"6",10230,99999,"BARDUFOSS","NO","","ENDU",69.056,18.54,76.8,19400713,20170502,"",69.1,18.5,5.14968902431571
"7",10250,99999,"TROMSO","NO","","ENTC",69.683,18.919,9.4,19730101,20170502,"",69.7,18.9,2.0298228671142
"8",10280,99999,"BJORNOYA ISLAND","NO","","ENBJ",74.517,19.017,18,19310103,20170502,"",74.5,19,1.95877151757371
"9",10460,99999,"SORKJOSEN","NO","","ENSR",69.787,20.959,4.9,19750905,20170502,"",69.8,21,2.13997249087215
"10",10470,99999,"KAUTOKEINO II","NO","","ENKA",69.017,23.067,307,19730101,20170502,"",69,23.1,2.30501120524465
"11",10490,99999,"ALTA","NO","","ENAT",69.976,23.372,2.7,19730101,20170502,"",70,23.4,2.87673368841083
"12",10520,99999,"HAMMERFEST AP","NO","","ENHF",70.683,23.683,81,19401008,20170502,"",70.7,23.7,1.99320039438974
"13",10590,99999,"BANAK","NO","","ENNA",70.069,24.973,7.6,19730101,20170502,"",70.1,24.9,4.42392567010328
"14",10680,99999,"HONNINGSVAG/VALAN","NO","","ENHV",71.017,25.983,14,19800604,20170502,"",71,26,1.99011744354
"15",10740,99999,"MEHAMN","NO","","ENMH",71.033,27.833,13,19750905,20170502,"",71,27.8,3.86301899051094
"16",10830,99999,"BERLEVAG","NO","","ENBV",70.867,29.033,13,19750905,20170502,"",70.8,29,7.55529193934734
"17",10860,99999,"BATSFJORD","NO","","ENBS",70.6,29.693,149.4,20110928,20170502,"",70.6,29.7,0.25883205629486
"18",10880,99999,"VADSO","NO","","ENVD",70.067,29.85,39,19750905,20170502,"",70.1,29.9,4.13399642712449
"19",10882,99999,"ROROS","NO","","ENRO",62.578,11.342,626.1,20050405,20170502,"",62.6,11.3,3.26047054775741
"20",10884,99999,"GEITERYGGEN","NO","","ENSN",59.185,9.567,141.1,20050405,20151109,"",59.2,9.6,2.51554463969567
"21",10890,99999,"HOYBUKTMOEN","NO","","ENKR",69.726,29.893,86.3,19401101,20170502,"",69.7,29.9,2.90688980297159
"22",10990,99999,"VARDO AP / SVARTNES","NO","","ENSS",70.355,31.045,12.8,20110928,20170502,"",70.4,31,5.28430145956163
"23",11120,99999,"BRONNOY","NO","","ENBN",65.461,12.218,7.6,19730101,20170502,"",65.4,12.2,6.84140942979976
"24",11133,99999,"DAGALI","NO","","ENDI",60.417,8.513,798,19860509,20030427,"",60.4,8.5,2.02286488135255
"25",11160,99999,"STOKKA","NO","","ENST",65.95,12.467,17.1,19730401,20170502,"",66,12.5,5.76341701856317
"26",11220,99999,"KJAERSTAD","NO","","ENMS",65.784,13.215,72.2,19881014,20170502,"",65.8,13.2,1.90818555308817
"27",11410,99999,"LEKNES","NO","","ENLK",68.15,13.617,26,19730620,20170502,"",68.2,13.7,6.54058855749606
"28",11510,99999,"MOIRANA","NO","","ENRA",66.367,14.3,70,19730401,20170502,"",66.4,14.3,3.67354319617837
"29",11520,99999,"BODO","NO","","ENBO",67.269,14.365,12.8,19400917,20170502,"",67.3,14.5,6.75172625743082
"30",11610,99999,"SVOLVAER/HELLE","NO","","ENSH",68.25,14.667,9,19730620,20170502,"",68.3,14.7,5.72966353619744
"31",11620,99999,"STORKMARKNES/SKAGEN","NO","","ENSK",68.583,15.017,3,19730620,20170502,"",68.6,14.9,5.11690202151022
"32",11830,99999,"EVENES","NO","","ENEV",68.491,16.678,25.6,19750905,20170502,"",68.5,16.7,1.34525506866548
"33",11930,99999,"NARVIK III/FRAMNES","NO","","ENNK",68.467,17.5,23,20010706,20170403,"",68.5,17.6,5.49223232170895
"34",12090,99999,"ORSTA-VOLDA/HOVDEN","NO","","ENOV",62.183,6.067,74,19841211,20170502,"",62.2,6.1,2.55309925112827
"35",12170,99999,"ARO","NO","","ENML",62.745,7.263,3,19760201,20170502,"",62.8,7.3,6.40601935205451
"36",12410,99999,"ORLAND","NO","","ENOL",63.699,9.604,8.5,19730101,20170502,"",63.7,9.7,4.73634762129546
"37",12710,99999,"VAERNES","NO","","ENVA",63.458,10.94,17.1,19400413,20170502,"",63.5,10.9,5.08062967994152
"38",12820,99999,"RORVIK/RYUM","NO","","ENRM",64.85,11.233,14,19950901,20170502,"",64.9,11.2,5.78039281560996
"39",12900,99999,"NAMSOS AIRPORT","NO","","ENNM",64.467,11.583,2,19730401,20170502,"",64.5,11.6,3.7629081586793
"40",13110,99999,"FLESLAND","NO","","ENBR",60.293,5.218,51.8,19730101,20170502,"",60.3,5.2,1.26215060539568
"41",13200,99999,"SANDANE/ANDA","NO","","ENSD",61.833,6.117,60,19810904,20170502,"",61.8,6.1,3.78071145592376
"42",13230,99999,"BRINGELAND","NO","","ENBL",61.393,5.764,327,19840502,20170502,"",61.4,5.8,2.07078076514376
"43",13470,99999,"SOGNDAL HAUKASEN","NO","","ENSG",61.156,7.137,511,19850118,20170502,"",61.2,7.1,5.28523831000727
"44",13680,99999,"LEIRIN","NO","","ENFG",61.016,9.288,822,19881014,20170502,"",61,9.3,1.89514284948535
"45",13839,99999,"HAMAR / STAFSBERG","NO","","ENHA",60.817,11.067,223,19870205,19900222,"",60.8,11.1,2.60604624436661
"46",13840,99999,"GARDERMOEN","NO","","ENGM",60.194,11.1,207.6,19400511,20170502,"",60.2,11.1,0.667916944760733
"47",14080,99999,"KARMOY","NO","","ENHD",59.345,5.208,26.2,19840909,20170502,"",59.3,5.3,7.238555353528
"48",14150,99999,"SOLA","NO","","ENZV",58.877,5.638,8.8,19400410,20170502,"",58.9,5.6,3.36642580944601
"49",14280,99999,"LISTA","NO","","ENLI",58.099,6.626,8.8,19730101,20070813,"",58.1,6.6,1.53352977605618
"50",14520,99999,"KJEVIK","NO","","ENCN",58.204,8.085,17.4,19400501,20170502,"",58.2,8.1,0.986114189019123
"51",14703,99999,"NOTODDEN","NO","","ENNO",59.566,9.212,19.2,19901019,20170502,"",59.6,9.2,3.84481373457175
"52",14825,99999,"TORP","NO","","ENTO",59.187,10.259,87.2,20050329,20170502,"",59.2,10.3,2.74917581976987
"53",14843,99999,"OSEBERG","NO","","ENOA",59.317,10.45,15,19901019,20170502,"",59.3,10.5,3.41355278473159
"54",14881,99999,"OSLO/FORNEBU","NO","","ENFB",59.9,10.617,17,20101123,20170502,"",59.9,10.6,0.949074635489454
"55",14940,99999,"RYGGE","NO","","ENRY",59.379,10.786,53,19730101,20170502,"",59.4,10.8,2.46873306117694
"56",20001,99999,"LJUNGBYHED","SW","","ESTL",56.083,13.213,42.7,20040510,20170502,"",56.1,13.2,2.05744098248614
"57",20440,99999,"KIRUNA","SW","","ESNQ",67.822,20.337,459.6,19770701,20170502,"",67.8,20.3,2.90127626774592
"58",20490,99999,"GALLIVARE","SW","","ESNG",67.132,20.815,313,19790803,20170502,"",67.1,20.8,3.62092013218668
"59",20570,99999,"KALLAX/LULEA (AFB)","SW","","ESPA",65.55,22.133,17,19550101,19770630,"",65.6,22.1,5.76953044103517
"60",20660,99999,"SUNDSVALL/HARNOSAND","SW","","ESNN",62.533,17.45,4,19550101,19770630,"",62.5,17.5,4.4825134540404
"61",20690,99999,"SODERHAMN (SWE-AFB)","SW","","ESCL",61.267,17.1,26,19550101,19770630,"",61.3,17.1,3.67354319617837
"62",20730,99999,"KARLSTAD          &","SW","","ESSQ",59.367,13.467,46,19550101,19770630,"",59.4,13.5,4.12251997736146
"63",20750,99999,"VASTERAS/HASSLO AFB","SW","","ESCD",59.583,16.633,6,19730101,19770630,"",59.6,16.6,2.65305299287716
"64",20760,99999,"UPPSALA           &","SW","","ESCM",59.883,17.6,21,19730101,19770630,"",59.9,17.6,1.89243134348497
"65",20770,99999,"STOCKHOLM/BROMMA  &","SW","","ESSB",59.35,17.95,15,19550101,19770630,"",59.4,18,6.24656466579678
"66",20790,99999,"SATENAS (SWE-AFB)","SW","","ESIB",58.433,12.7,54,19730101,19770630,"",58.4,12.7,3.67354319617695
"67",20870,99999,"JONKOPING         &","SW","","ESSJ",57.767,14.083,226,19550101,19770630,"",57.8,14.1,3.80956483348147
"68",20900,99999,"VISBY             &","SW","","ESSV",57.667,18.35,51,19550101,19770630,"",57.7,18.4,4.72745099982971
"69",20980,99999,"MALMO/STURUP","SW","","ESMS",55.55,13.367,72,19730101,19770630,"",55.6,13.4,5.94078898216707
"70",21010,99999,"HEMAVAN","SW","","ESUT",65.806,15.083,458.1,19730102,20170502,"",65.8,15.1,1.02360282121845
"71",21110,99999,"VIDSEL (SWE-AFB)","SW","","ESPE",65.867,20.133,180,19730102,19770630,"",65.9,20.1,3.96835925533837
"72",21280,99999,"GUNNARN","SW","","ESPD",65,17.7,283,19730101,20130402,"",65,17.7,0
"73",21420,99999,"JOKKMOKK","SW","","ESNJ",66.496,20.147,275.5,19770701,20000510,"",66.5,20.1,2.13341469917193
"74",21480,99999,"NORRKOPING/BRAVALLA","SW","","ESCK",58.617,16.117,27,19730101,19770630,"",58.6,16.1,2.13376906661188
"75",21500,99999,"NYKOPING/SKAVST AFB","SW","","ESCJ",58.783,16.917,42,19730101,19770630,"",58.8,16.9,2.13138808732311
"76",21550,99999,"HAGSHULT (SWE-AFB)","SW","","ESMV",57.3,14.133,169,19550101,19770630,"",57.3,14.1,1.98459613416663
"77",21590,99999,"FALLFORS","SW","","ESUF",65.12,20.77,195,19960801,20050629,"",65.1,20.8,2.63294495206162
"78",21630,99999,"LJUNGBYHED(SWE-AFB)","SW","","ESDA",56.083,13.233,43,19730101,19770630,"",56.1,13.2,2.78947021401555
"79",21660,99999,"RONNEBY (SWE-AFB)","SW","","ESDF",56.267,15.283,58,19730101,19770630,"",56.3,15.3,3.8207829169869
"80",21690,99999,"HEDEN","SW","","ESPJ",65.867,21.45,36,20020530,20020801,"",65.9,21.5,4.32053165249776
"81",22260,99999,"OSTERSUND","SW","","ESNZ",63.2,14.5,376,19350101,20170502,"",63.2,14.5,0
"82",22455,99999,"LYCKSELE","SW","","ESNL",64.548,18.716,214.9,19980408,20170502,"",64.5,18.7,5.39797800326761
"83",22590,99999,"KRAMFORS SOLLEFTEA","SW","","ESNK",63.049,17.769,10.4,19770701,20170502,"",63,17.8,5.67482338493191
"84",22670,99999,"ORNSKOLDSVIK","SW","","ESNO",63.408,18.99,107.9,19790802,20170502,"",63.4,19,1.02052248520055
"85",22860,99999,"UMEA","SW","","ESNU",63.792,20.283,7.3,19770701,20170502,"",63.8,20.3,1.22122102724674
"86",22930,99999,"SKELLEFTEA","SW","","ESNS",64.625,21.077,47.9,19790802,20170502,"",64.6,21.1,2.99165577066302
"87",23130,99999,"VISINGSO","SW","","ESGI",58.1,14.4,110,19731209,19731209,"",58.1,14.4,0
"88",23700,99999,"GAVLE/SANDVIKEN AFB","SW","","ESSK",60.6,16.95,68,19730828,19740123,"",60.6,17,2.73235772824061
"89",23710,99999,"BORLANGE (SWE-AFB)","SW","","ESSD",60.433,15.5,153,19730810,19731213,"",60.4,15.5,3.67354319617837
"90",23750,99999,"ESKILSTUNA(SWE-AFB&","SW","","ESSU",59.35,16.717,40,19800302,20030313,"",59.4,16.7,5.64884399955702
"91",23810,99999,"NORRKOPING/KUNGSANG","SW","","ESSP",58.583,16.25,5,19730728,19770630,"",58.6,16.2,3.46337354472364
"92",23980,99999,"KRISTIANSTAD/EVEROD","SW","","ESMK",55.917,14.083,23,19730708,19731106,"",55.9,14.1,2.16943819935581
"93",24040,99999,"ARVIKA","SW","","ESKV",59.667,12.583,75,19770701,20040224,"",59.7,12.6,3.79571209393971
"94",24100,99999,"MALUNG","SW","","EVSM",60.683,13.7,308,19770701,20110818,"",60.7,13.7,1.89243134348638
"95",24180,99999,"KARLSTAD","SW","","ESOK",59.445,13.337,107.3,19350101,20170502,"",59.4,13.3,5.42991375123343
"96",24283,99999,"OREBRO","SW","","ESOE",59.224,15.038,57.3,19910827,20170502,"",59.2,15,3.43891340583976
"97",24284,99999,"MORA","SW","","ESKM",60.958,14.511,193.2,19910827,20170502,"",61,14.5,4.71300679859977
"98",24285,99999,"TORSBY","SW","","ESST",60.158,12.991,119.8,20070226,20170502,"",60.2,13,4.70188971148502
"99",24373,99999,"ARBOGA","SW","","ESQO",59.387,15.924,10.1,20070226,20070227,"",59.4,15.9,1.98608509983633
"100",24460,99999,"VASTERAS","SW","","ESOW",59.589,16.634,6.4,19770701,20170502,"",59.6,16.6,2.27351896120187
"101",24600,99999,"ARLANDA","SW","","ESSA",59.652,17.919,41.8,19770630,20170502,"",59.7,17.9,5.4489993485217
"102",24690,99999,"TULLINGE","SW","","ESCN",59.183,17.917,54,20010601,20170502,"",59.2,17.9,2.12620231267688
"103",24853,99999,"SKAVSTA","SW","","ESKN",58.789,16.912,42.7,19910827,20170502,"",58.8,16.9,1.40657334968373
"104",25103,99999,"TROLLHATTAN VANERSBORG","SW","","ESGT",58.318,12.345,41.8,19910827,20170502,"",58.3,12.3,3.30763059226982
"105",25105,99999,"LIDKOPING","SW","","ESGL",58.466,13.174,61,20071016,20120830,"",58.5,13.2,4.07607210838161
"106",25120,99999,"SAVE","SW","","ESGP",57.775,11.87,18,19350101,20170102,"",57.8,11.9,3.30365504431419
"107",25140,99999,"ARVIDSJAUR","SW","","ESNX",65.59,19.282,379.5,19770701,20170502,"",65.6,19.3,1.38731769938583
"108",25260,99999,"LANDVETTER","SW","","ESGG",57.663,12.28,154.2,19771003,20170502,"",57.7,12.3,4.28736093547028
"109",25350,99999,"SKOVDE","SW","","ESGR",58.456,13.973,98.8,19910827,20170502,"",58.5,14,5.14396011801468
"110",25500,99999,"JONKOPING","SW","","ESGJ",57.758,14.069,225.9,19310101,20170502,"",57.8,14.1,5.02444488451947
"111",25620,99999,"MALMEN","SW","","ESCF",58.402,15.526,93.9,19770701,20170502,"",58.4,15.5,1.53278837327711
"112",25625,99999,"SAAB","SW","","ESSL",58.406,15.681,52.4,19951012,20170502,"",58.4,15.7,1.2938932692879
"113",25635,99999,"ANGELHOLM","SW","","ESDB",56.283,12.833,47,20040810,20170502,"",56.3,12.8,2.78165185265221
"114",25650,99999,"HULTSFRED","SW","","ESSF",57.526,15.823,111.6,19790806,20170502,"",57.5,15.8,3.20439429238971
"115",26040,99999,"HALMSTAD","SW","","ESMT",56.691,12.82,30.8,19770701,20170502,"",56.7,12.8,1.5805770417843
